URL,Product_Name,Category
https://www.grosbill.com/disque-ssd/crucial-p510-1to-nvme-gen5-154155.aspx,"Crucial P510 SSD 1To PCIe 5.0 x4 Gen5 NVMe M.2","SSD"
https://www.idealo.fr/prix/207124342/acer-predator-gm9-1tb.html,"Acer Predator GM9 1TB","SSD"
https://www.idealo.fr/prix/206100416/pny-cs2150-1tb.html,"PNY CS2150 1TB","SSD"
https://www.idealo.fr/prix/205061799/corsair-mp700-elite-1tb.html,"Corsair MP700 Elite 1TB","SSD"

# GPU
https://www.amazon.fr/dp/B0DT7B79K9/?coliid=I3S9ZM6UVR9MF3&colid=2ALWY88JB3B8P&ref_=list_c_wl_lv_ov_lig_dp_it,"Gigabyte Radeon RX 9070 XT Gaming OC 16G","GPU"
https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_wgfx_pcie_puis_ref_est_in20026999.html,"Gigabyte Radeon RX 9070 XT Gaming OC 16G","GPU"
https://www.bpm-power.com/it/online/componenti-pc/schede-video/scheda-amd-gigabyte-radeon-b2265377.html,"Gigabyte Radeon RX 9070 XT Gaming OC 16G","GPU"
https://www.idealo.fr/prix/206044279/gigabyte-radeon-rx-9070-xt-gaming-oc.html,"Gigabyte Radeon RX 9070 XT Gaming OC 16G","GPU"
https://www.ldlc.com/fiche/PB00671201.html,"Gigabyte Radeon RX 9070 XT Gaming OC 16G","GPU"
https://www.alternate.fr/GIGABYTE/Radeon-RX-9070-XT-GAMING-OC-16G-Carte-graphique/html/product/100115036,"Gigabyte Radeon RX 9070 XT Gaming OC 16G","GPU"
https://www.pccomponentes.fr/carte-graphique-gigabyte-radeon-rx-9070-xt-gaming-oc-16g-amd,"Gigabyte Radeon RX 9070 XT Gaming OC 16G","GPU"
https://www.materiel.net/produit/202501200050.html,"Gigabyte Radeon RX 9070 XT Gaming OC 16G","GPU"
https://www.idealo.fr/prix/206022058/xfx-radeon-rx-9070-xt.html,"XFX Radeon RX 9070 XT","GPU"
https://www.idealo.fr/prix/205618015/powercolor-radeon-rx-9070-xt.html,"PowerColor Radeon RX 9070 XT","GPU"
https://www.idealo.fr/prix/206023304/powercolor-radeon-rx-9070-xt-reaper.html,"PowerColor Radeon RX 9070 XT Reaper","GPU"
https://www.idealo.fr/prix/206022229/xfx-radeon-rx-9070-xt-quicksilver-white.html,"XFX Radeon RX 9070 XT Quicksilver White","GPU"
https://www.idealo.fr/prix/206022232/xfx-radeon-rx-9070-xt-swift.html,"XFX Radeon RX 9070 XT Swift","GPU"
https://www.idealo.fr/prix/206022233/xfx-radeon-rx-9070-xt-swift-white.html,"XFX Radeon RX 9070 XT Swift White","GPU"
https://www.idealo.fr/prix/205936997/zotac-geforce-rtx-5070-ti.html,"Zotac GeForce RTX 5070 Ti","GPU"
https://www.idealo.fr/prix/206229476/zotac-geforce-rtx-5070-ti-solid-sff.html,"Zotac GeForce RTX 5070 Ti Solid SFF","GPU"

# Cooler
https://www.amazon.fr/dp/B0BTY4592M/?coliid=I2CMXWHKHOIEXV&colid=2ALWY88JB3B8P&psc=1&ref_=list_c_wl_lv_ov_lig_dp_it,"Thermalright Phantom Spirit 120SE CPU Air Cooler","Cooler"

# Motherboard
https://www.amazon.fr/dp/B0DP5DQPRC/?coliid=I231FBUAWQDNBW&colid=2ALWY88JB3B8P&ref_=list_c_wl_lv_ov_lig_dp_it,"ASUS TUF GAMING B850-PLUS WIFI AMD ATX motherboard","Motherboard"
https://www.idealo.fr/prix/205562175/asus-tuf-gaming-b850-plus-wifi.html,"ASUS TUF GAMING B850-PLUS WIFI AMD ATX motherboard","Motherboard"
https://www.ldlc.com/fiche/PB00659304.html,"ASUS TUF GAMING B850-PLUS WIFI AMD ATX motherboard","Motherboard"
https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_cm_am5_puis_ref_est_in20026066.html,"ASUS TUF GAMING B850-PLUS WIFI AMD ATX motherboard","Motherboard"

# CPU
